50.1751,52.5083,46.9384,48.3417,50.0162,46.2079,35.1513,38.9245,51.8702,36.5606,48.1217,52.8223,
0.66701,1.27128,0.833149,0.621852,0.758472,0.621605,0.725298,0.859793,1.33968,0.888222,0.861706,1.19901,
0.733269,0.877269,0.725592,0.704169,0.741027,0.678689,0.604433,0.676363,0.86999,0.620911,0.742684,0.861611,
0.210592,0.412495,0.227668,0.206197,0.181795,0.197901,0.40184,0.370491,0.338966,0.272927,0.236889,0.359759,
1,1.42952,0.97005,0.991356,0.762546,0.959075,1.85548,1.77891,1.13441,1.07646,0.953176,1.3135,
0.48598,0.593249,0.9812,0.463975,1.11939,0.477707,0.549857,0.515954,0.695094,0.653655,1.12497,0.561065,
0.0425263,0.0717968,0.046599,0.0414493,0.0455395,0.0410712,0.0647281,0.0582702,0.0709379,0.0681013,0.0448584,0.0685916,
0.0225158,0.0320442,0.0306682,0.0217718,0.0322855,0.0217267,0.0328796,0.0306614,0.0326567,0.0318668,0.0326821,0.0308236,
0.0216318,0.0341316,0.0184163,0.0214247,0.0167485,0.0206406,0.044457,0.0407526,0.0283545,0.0319462,0.0190456,0.0345492,
0.124896,0.157876,0.0974715,0.116891,0.0867375,0.115164,0.228176,0.22475,0.13164,0.138561,0.0999784,0.158079,
0.731658,0.782452,0.831983,0.702932,0.901544,0.681999,0.614424,0.641729,0.807371,0.657367,0.869133,0.788684,
0.0103734,0.0247441,0.0138338,0.0095421,0.012687,0.00928899,0.0212627,0.0201437,0.0260646,0.0231105,0.0132517,0.0240909,
0.00738759,0.0121337,0.00944847,0.00669899,0.0100492,0.00625082,0.0104688,0.0104995,0.0123588,0.00971203,0.00994134,0.0120434,
0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,
